target,fighter_A_stance_Orthodox,fighter_A_stance_Southpaw,fighter_A_stance_Switch,fighter_B_stance_Orthodox,fighter_B_stance_Southpaw,fighter_B_stance_Switch,is_title_fight_True,is_male_fight_True,weight_class_featherweight,weight_class_flyweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_strawweight,weight_class_welterweight,diff_wins,diff_losses,diff_fight_age,diff_height_inches,diff_reach_inches,diff_knockdowns,diff_significant_strikes_landed,diff_significant_strikes_thrown,diff_total_strikes_landed,diff_total_strikes_thrown,diff_takedowns_landed,diff_takedowns_thrown,diff_head_strikes_landed,diff_head_strikes_thrown,diff_body_strikes_landed,diff_body_strikes_thrown,diff_leg_strikes_landed,diff_leg_strikes_thrown,diff_distance_strikes_landed,diff_distance_strikes_thrown,diff_clinch_strikes_landed,diff_clinch_strikes_thrown,diff_ground_strikes_landed,diff_ground_strikes_thrown,diff_strike_accuracy,diff_sig_strike_accuracy,diff_takedown_accuracy,diff_head_strike_ratio,diff_body_strike_ratio,diff_leg_strike_ratio,diff_fight_duration,diff_win_rate,diff_knockdown_percentage,diff_ko_rate,diff_submission_rate,diff_finish_rate
1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,-13,-8,2,0.0,2,0,43,39,70,68,1,1,39,35,3,3,1,1,2,-3,-3,-4,44,46,0.2279123748730596,0.2640900826930972,0.2472727272727273,-0.02040816326530609,-0.00013082155939300733,-0.05586080586080586,0.6923076923076923,-0.10256410256410264,-0.004447933019361592,-0.05128205128205132,-0.05128205128205132,-0.17948717948717952
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,6,8,-2.0,-1,1,7,-11,7,-11,0,-1,1,-17,5,5,1,1,0,-21,6,9,1,1,0.20351034648396515,0.11591052368426774,0.21818181818181825,-0.09994279789782273,-0.15464230810482285,-0.018519180579886312,2.666666666666666,0.6666666666666667,0.002877980765793143,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,2,4.0,4,0,7,15,49,60,3,0,18,32,-9,-13,-2,-4,-3,-8,-7,-10,17,33,0.1568273337400854,0.24940577249575552,-0.40217391304347827,0.15688775510204084,-0.019770408163265307,-0.001913265306122451,0.0,-0.33333333333333337,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,3,-13,3,2.0,6,1,29,-34,76,19,10,12,21,-37,5,4,3,-1,25,-27,-3,-9,7,2,0.21353794604891652,0.14085016205435053,0.02358490566037741,-0.09325283862027478,0.017706688437478746,-0.1513107246314538,0.4571428571428573,0.05714285714285705,-0.016222477647320006,-0.3714285714285715,-0.3714285714285715,-0.2571428571428571
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-12,3,3,-1.0,-8,0,-14,-19,-14,-19,0,4,0,5,-6,-8,-8,-16,-13,-19,-1,0,0,0,-0.1330275229357798,-0.2328687572590012,0.21818181818181825,0.05476360180565454,-0.2318840579710145,-0.043478260869565216,0.0,0.0,0.009147065811356617,0.0,0.0,0.0
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,16,6,-4,0.0,1,0,17,34,-18,0,6,7,11,28,-2,-2,8,8,4,9,2,1,11,24,-0.12899934783591294,-0.057799222238225534,0.04999999999999999,0.02463503649635035,0.06132973659155824,0.04324024119327198,0.3333333333333335,0.3333333333333333,-0.0072992700729927005,0.0,0.0,-0.3333333333333333
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,12,-2,3,1.0,0,0,10,23,114,130,4,2,6,15,1,1,3,7,2,15,1,1,7,7,0.4553880803880804,0.21170033670033667,0.5106382978723404,-0.39332096474953615,-0.08163265306122448,-0.24768089053803338,1.7777777777777777,-0.11111111111111116,-0.14100185528756956,-0.8888888888888888,-0.8888888888888888,-0.5555555555555556
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,12,-3.0,-4,0,-6,-24,-9,-21,3,9,-5,-21,-1,-3,0,0,2,-9,-4,-9,-4,-6,0.07232900073746307,0.063918907598224,0.4444444444444445,0.03364448989016067,-0.023287264571032758,-0.042121581950720716,0.625,-0.625,-0.00234192037470726,0.875,0.875,0.625
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-2,0,-2.0,-1,0,3,-2,0,-9,-1,-1,-1,-3,0,-3,4,4,1,-2,3,1,-1,-1,0.025800220750551883,0.04856743535988817,0.7857142857142857,0.25413533834586466,-0.08145363408521303,-0.181328320802005,-0.33333333333333326,-0.16666666666666669,0.008771929824561403,0.3333333333333333,0.3333333333333333,-0.33333333333333337
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,14,7,4,-1.0,-1,0,22,48,74,108,2,0,15,37,4,8,3,3,1,17,11,18,10,13,0.09074074074074073,0.024891774891774854,1.0,-0.3401459854014599,-0.0394160583941606,0.12408759124087591,1.0,-0.5,-0.2,-0.5,-0.5,-0.5
