Event,Weight Class,Round,Name,KD,Sig. Str.,Sig. Str. %,Total Str.,TD,TD %,Sub. Att,Rev.,Ctrl,Head,Body,Leg,Distance,Clinch,Ground,Wins,Losses,Draws,No Contests,Height,Weight,Reach,Stance,DOB,Date,Result,Method,Fighter_1,Fighter_2
UFC 303: Pereira vs. Prochazka 2,UFC Light Heavyweight Title Bout,Round 1,Alex Pereira,1,27 of 37,72%,38 of 48,0 of 0,---,0,0,0:00,10 of 19,8 of 9,9 of 9,20 of 30,7 of 7,0 of 0,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Jun. 29, 2024",win,KO/TKO Kick,Alex Pereira,Jiri Prochazka
UFC 303: Pereira vs. Prochazka 2,UFC Light Heavyweight Title Bout,Round 2,Alex Pereira,1,11 of 13,84%,11 of 13,0 of 0,---,0,0,0:03,11 of 13,0 of 0,0 of 0,1 of 1,0 of 0,10 of 12,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Jun. 29, 2024",win,KO/TKO Kick,Alex Pereira,Jiri Prochazka
UFC 300: Pereira vs. Hill,UFC Light Heavyweight Title Bout,Round 1,Alex Pereira,1,24 of 30,80%,24 of 30,0 of 0,---,0,0,0:07,12 of 15,6 of 6,6 of 9,13 of 16,0 of 0,11 of 14,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Apr. 13, 2024",win,KO/TKO Punch,Alex Pereira,Jamahal Hill
UFC 295: Prochazka vs. Pereira,UFC Light Heavyweight Title Bout,Round 1,Alex Pereira,0,11 of 20,55%,17 of 26,0 of 0,---,1,0,0:00,4 of 9,1 of 3,6 of 8,8 of 17,3 of 3,0 of 0,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Nov. 11, 2023",win,KO/TKO Elbows,Alex Pereira,Jiri Prochazka
UFC 295: Prochazka vs. Pereira,UFC Light Heavyweight Title Bout,Round 2,Alex Pereira,1,27 of 41,65%,32 of 46,0 of 0,---,0,0,0:08,17 of 29,4 of 5,6 of 7,14 of 26,1 of 1,12 of 14,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Nov. 11, 2023",win,KO/TKO Elbows,Alex Pereira,Jiri Prochazka
UFC 291: Poirier vs. Gaethje 2,Light Heavyweight Bout,Round 1,Alex Pereira,0,2 of 3,66%,12 of 15,0 of 0,---,1,0,0:00,1 of 2,0 of 0,1 of 1,1 of 2,1 of 1,0 of 0,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Jul. 29, 2023",win,S-DEC,Alex Pereira,Jan Blachowicz
UFC 291: Poirier vs. Gaethje 2,Light Heavyweight Bout,Round 2,Alex Pereira,0,33 of 47,70%,54 of 69,0 of 0,---,0,0,0:06,13 of 25,10 of 11,10 of 11,28 of 41,4 of 5,1 of 1,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Jul. 29, 2023",win,S-DEC,Alex Pereira,Jan Blachowicz
UFC 291: Poirier vs. Gaethje 2,Light Heavyweight Bout,Round 3,Alex Pereira,0,35 of 42,83%,46 of 54,0 of 0,---,0,0,0:00,12 of 19,13 of 13,10 of 10,33 of 40,2 of 2,0 of 0,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Jul. 29, 2023",win,S-DEC,Alex Pereira,Jan Blachowicz
UFC 287: Pereira vs. Adesanya 2,UFC Middleweight Title Bout,Round 1,Alex Pereira,0,20 of 31,64%,20 of 31,0 of 0,---,0,0,0:00,1 of 4,3 of 6,16 of 21,20 of 31,0 of 0,0 of 0,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Apr. 08, 2023",loss,KO/TKO Punch,Alex Pereira,Israel Adesanya
UFC 287: Pereira vs. Adesanya 2,UFC Middleweight Title Bout,Round 2,Alex Pereira,0,29 of 54,53%,29 of 54,0 of 0,---,0,0,0:00,7 of 24,12 of 15,10 of 15,28 of 52,1 of 2,0 of 0,11,2,0,0,76 inches,205 lbs.,79 inches,Orthodox,"Jul 07, 1987","Apr. 08, 2023",loss,KO/TKO Punch,Alex Pereira,Israel Adesanya
